2026-02-03 11:59:04 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:59:05 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:59:05 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:59:05 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:59:05 | INFO     | water_balance | info:418 | Created flow column 'Test_Col' in 'Flows_Test'
2026-02-03 11:59:05 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 6 columns
2026-02-03 11:59:05 | ERROR    | water_balance | error:426 | Column 'Sample_Flow_1' not found in sheet 'Flows_Test'
2026-02-03 11:59:05 | ERROR    | water_balance | error:426 | Column 'Sample_Flow_1' not found in sheet 'Flows_Test'
2026-02-03 11:59:49 | DEBUG    | water_balance | __init__:408 | ============================================================
2026-02-03 11:59:49 | DEBUG    | water_balance | __init__:409 | Water Balance Application Started
2026-02-03 11:59:49 | DEBUG    | water_balance | __init__:410 | ============================================================
2026-02-03 11:59:49 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:59:49 | INFO     | water_balance | info:418 | Created flow column 'Sample_Flow_1' in 'Flows_Test'
2026-02-03 11:59:54 | DEBUG    | water_balance | __init__:408 | ============================================================
2026-02-03 11:59:54 | DEBUG    | water_balance | __init__:409 | Water Balance Application Started
2026-02-03 11:59:54 | DEBUG    | water_balance | __init__:410 | ============================================================
2026-02-03 11:59:54 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:59:54 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:59:54 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:59:54 | INFO     | water_balance | info:418 | Created flow column 'New_Flow' in 'Flows_Test'
2026-02-03 11:59:54 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 6 columns
2026-02-03 11:59:54 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:59:54 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:59:54 | DEBUG    | water_balance | debug:414 | Mappings file not found: data\excel_flow_links.json. Skipping mapping update.
2026-02-03 11:59:54 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:59:54 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:59:54 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
