2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2s_res
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2s_offices
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2s_sd
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2s_sdsa
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2s_stp
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2s_consumption
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2s_mdcd_spill
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2s_mdcd_evap
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2s_mdcd_dust
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2s_soft_losses
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2s_stp_losses
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: mers_borehole
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: mers_rainfall
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: mers_mdcdg
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: mers_soft
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: mers_offices
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: mers_sd
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: mers_sdsa
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: mers_consumption
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: mers_mdcd_spill
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: mers_mdcd_evap
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: mers_mdcd_dust
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: mers_soft_losses
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_gwa_boreholes
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_old_tsf_rainrun
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_trtd_rain
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_new_tsf_rainrun
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_nt_rwd_rain
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_offices
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_old_tsf
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_trtd
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_new_tsf
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_nt_rwd
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_off_septic
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_off_consumption
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_old_tsf_evap
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_old_tsf_interstitial
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_old_tsf_seepage
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_trtd_evap
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_trtd_spill
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_new_tsf_evap
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_new_tsf_interstitial
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_new_tsf_seepage
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_nt_rwd_evap
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: oldtsf_nt_rwd_spill
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_cpgwa_boreholes
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_ug2pcd1_rain
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_ug2p_ore_water
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_ug2p_rivers
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_ug2p_off
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_ug2p_plant
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_cprwsd1
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_ug2pcd1
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_ug2p_res
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_cppwt
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_ug2p_soft
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_ug2p_stp
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_ug2pcd1_dust
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_ug2pcd1_evap
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_ug2pcd1_spill
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_ug2p_off_consumption
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_ug2p_plant_losses
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_ug2p_plant_product
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_ug2p_soft_losses
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2plant_ug2p_stp_losses
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_mprwsd1_rivers
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_merp_ore_water
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_mpswd12_rain
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_mpgwa_boreholes
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_mprwsd1
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_merp_plant
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_mpswd12
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_merp_soft
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_merp_res
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_merp_off
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_merp_stp
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_merp_plant_product
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_merp_plant_losses
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_mpswd12_dust
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_mpswd12_evap
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_mpswd12_spill
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_merp_off_consumption
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_merp_off_losses
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: merplant_merp_stp_losses
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: klein_dwars_river
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: dwarsrivierriver
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: septick
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: septic_tank
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: scavenger_boreholes1_6
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: septic_tank_1
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: scavenger_borehole1_6
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: septic_tank_2
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: softening -> reservoir
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: reservoir -> offices
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: offices -> sewage
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: rainfall_inflow -> ndcd
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: bh_ndgwa -> softening
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: softening -> trp_clinic
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: trp_clinic -> septic
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: north_decline -> ndcd
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: north_shaft -> ndcd
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: trp_clinic -> consumption
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: softening -> losses
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: offices -> consumption2
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: sewage -> losses2
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: ndcd -> spill
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: ndcd -> evaporation
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: ndcd -> dust_suppression
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: sewage -> junction:1165:337
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: ndcd -> north_decline
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: stockpile_bh_gwa -> stockpile_offices
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: stockpile_offices -> stockpile_consumption
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: stockpile_offices -> stockpile_septic
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: stockpile_rainfall_spcd1 -> spcd1
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: stockpile_rainfall -> stockpile_area
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: stockpile_area -> stockpile_evaporation
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: spcd1 -> stockpile_dust_suppression
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: spcd1 -> stockpile_spill
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: stockpile_area -> spcd1
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: spcd1 -> stockpile_evaporation2
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: stockpile_area -> spcd1
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: ug2s_borehole -> ug2s_soft
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: ug2s_soft -> ug2s_stp_losses
2026-02-05 02:54:51 | DEBUG    | _render_diagram:516 | Created FlowEdgeItem: ug2s_soft -> ug2s_res
