2026-01-31 00:14:33 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-31 00:14:34 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-31 00:14:34 | INFO     | run:231 | Directory loading complete
2026-01-31 00:15:29 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-31 00:15:29 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-31 00:15:29 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-31 00:15:29 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-31 00:15:29 | INFO     | run:231 | Directory loading complete
2026-01-31 00:18:21 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-31 00:18:21 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-31 00:18:21 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-31 00:18:21 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-31 00:18:21 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-31 00:18:21 | INFO     | run:231 | Directory loading complete
2026-01-31 00:19:35 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-31 00:19:35 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-31 00:19:35 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-31 00:19:35 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-31 00:19:35 | INFO     | run:231 | Directory loading complete
2026-01-31 00:33:35 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-31 00:33:35 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-31 00:33:35 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-31 00:33:35 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-31 00:33:36 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-31 00:33:36 | INFO     | run:230 | Directory loading complete
2026-01-31 00:34:17 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-31 00:34:17 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-31 00:34:17 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-31 00:34:17 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-31 00:34:17 | INFO     | run:230 | Directory loading complete
2026-01-31 00:47:52 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-31 00:47:52 | INFO     | __init__:90 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-31 00:47:52 | INFO     | set_cache_functions:101 | Cache functions configured
